ID,Sire,Dam,PC,yr
202311,100732,100731,231,2009
202312,102092,102091,231,2009
202321,NA,NA,232,2009
202322,101252,101251,232,2009
202331,100352,100351,233,2009
202332,101152,101151,233,2009
202341,NA,NA,234,2009
202342,102222,102221,234,2009
202391,100562,100561,239,2009
202392,100232,100231,239,2009
202431,102552,102551,243,2009
202432,100932,100931,243,2009
202461,101532,101531,246,2009
202462,101292,101291,246,2009
202471,101522,101521,247,2009
202472,100292,100291,247,2009
202481,101642,101641,248,2009
202482,100322,100321,248,2009
202491,100422,100421,249,2009
202492,100922,100921,249,2009
202501,101232,101231,250,2009
202502,101252,101251,250,2009
202511,101272,101271,251,2009
202512,100662,100661,251,2009
202531,101242,101241,253,2009
202532,100122,100121,253,2009
202541,100872,100871,254,2009
202542,101492,101491,254,2009
202551,100642,100641,255,2009
202552,101032,101031,255,2009
202561,101512,101511,256,2009
202562,100312,100311,256,2009
202571,101062,101061,257,2009
202572,100202,100201,257,2009
202581,101402,101401,258,2009
202582,102122,102121,258,2009
202591,100662,100661,259,2009
202592,101242,101241,259,2009
202601,100762,100761,260,2009
202602,NA,NA,260,2009
202611,100762,100761,261,2009
202612,101532,101531,261,2009
202621,102302,102301,262,2009
202622,102522,102521,262,2009
202631,101642,101641,263,2009
202632,100122,100121,263,2009
202641,101522,101521,264,2009
202642,100362,100361,264,2009
202651,101172,101171,265,2009
202652,101512,101511,265,2009
202661,100972,100971,266,2009
202662,100562,100561,266,2009
202671,101522,101521,267,2009
202672,100762,100761,267,2009
202681,100882,100881,268,2009
202682,100942,100941,268,2009
202691,101052,101051,269,2009
202692,NA,NA,269,2009
202711,100452,100451,271,2009
202712,102142,102141,271,2009
202721,102312,102311,272,2009
202722,101492,101491,272,2009
202731,101312,101311,273,2009
202732,100612,100611,273,2009
202741,101292,101291,274,2009
202742,NA,NA,274,2009
202751,101402,101401,275,2009
202752,100102,100101,275,2009
202761,101112,101111,276,2009
202762,100312,100311,276,2009
202771,100982,100981,277,2009
202772,100152,100151,277,2009
202781,101232,101231,278,2009
202782,100522,100521,278,2009
202791,101372,101371,279,2009
202792,NA,NA,279,2009
202801,100292,100291,280,2009
202802,101302,101301,280,2009
202811,100652,100651,281,2009
202812,100522,100521,281,2009
202821,100592,100591,282,2009
202822,100432,100431,282,2009
202831,100842,100841,283,2009
202832,101342,101341,283,2009
202851,101032,101031,285,2009
202852,100232,100231,285,2009
202861,100952,100951,286,2009
202862,100042,100041,286,2009
202871,100942,100941,287,2009
202872,100492,100491,287,2009
202881,100032,100031,288,2009
202882,100542,100541,288,2009
300011,200082,200081,1,2010
300012,200302,200301,1,2010
300021,200842,200841,2,2010
300022,200052,200051,2,2010
300031,200012,200011,3,2010
300032,200412,200411,3,2010
300041,200102,200101,4,2010
300042,200692,200691,4,2010
300051,200382,200381,5,2010
300052,200582,200581,5,2010
300061,200382,200381,6,2010
300062,200722,200721,6,2010
300071,200032,200031,7,2010
300072,NA,NA,7,2010
300081,200632,200631,8,2010
300082,201872,201871,8,2010
300091,200612,200611,9,2010
300092,200352,200351,9,2010
300101,200412,200411,10,2010
300102,200012,200011,10,2010
300121,200932,200931,12,2010
300122,200352,200351,12,2010
300131,200082,200081,13,2010
300132,200722,200721,13,2010
300141,200122,200121,14,2010
300142,NA,NA,14,2010
300151,200082,200081,15,2010
300152,200372,200371,15,2010
300161,200992,200991,16,2010
300162,200542,200541,16,2010
300171,200372,200371,17,2010
300172,201022,201021,17,2010
300181,200602,200601,18,2010
300182,200662,200661,18,2010
300191,201112,201111,19,2010
300192,200112,200111,19,2010
300201,200352,200351,20,2010
300202,200942,200941,20,2010
300211,200722,200721,21,2010
300212,200452,200451,21,2010
300221,200722,200721,22,2010
300222,200202,200201,22,2010
300231,200642,200641,23,2010
300232,201882,201881,23,2010
300241,200052,200051,24,2010
300242,201212,201211,24,2010
300251,200022,200021,25,2010
300252,200542,200541,25,2010
300261,200172,200171,26,2010
300262,200052,200051,26,2010
300271,NA,NA,27,2010
300272,200312,200311,27,2010
300291,201372,201371,29,2010
300292,200852,200851,29,2010
300311,200372,200371,31,2010
300312,200592,200591,31,2010
300321,201022,201021,32,2010
300322,201422,201421,32,2010
300331,200752,200751,33,2010
300332,200402,200401,33,2010
300341,201422,201421,34,2010
300342,200022,200021,34,2010
300351,201112,201111,35,2010
300352,200012,200011,35,2010
300361,NA,NA,36,2010
300362,201112,201111,36,2010
300371,200202,200201,37,2010
300372,200402,200401,37,2010
300381,200662,200661,38,2010
300382,200202,200201,38,2010
300391,200612,200611,39,2010
300392,202152,202151,39,2010
300401,200962,200961,40,2010
300402,200932,200931,40,2010
300411,200172,200171,41,2010
300412,200822,200821,41,2010
300421,200232,200231,42,2010
300422,200292,200291,42,2010
300431,200172,200171,43,2010
300432,200092,200091,43,2010
300441,200932,200931,44,2010
300442,200292,200291,44,2010
300451,201372,201371,45,2010
300452,200602,200601,45,2010
300461,201212,201211,46,2010
300462,200762,200761,46,2010
300471,200772,200771,47,2010
300472,201842,201841,47,2010
300481,200582,200581,48,2010
300482,200472,200471,48,2010
300491,201212,201211,49,2010
300492,201632,201631,49,2010
300501,200362,200361,50,2010
300502,200792,200791,50,2010
300511,200772,200771,51,2010
300512,201752,201751,51,2010
300521,201422,201421,52,2010
300522,200432,200431,52,2010
300531,200612,200611,53,2010
300532,201772,201771,53,2010
300541,200872,200871,54,2010
300542,200072,200071,54,2010
300571,201692,201691,57,2010
300572,200772,200771,57,2010
300581,200582,200581,58,2010
